id,title,publish_day,publish_month,publish_year,video_type,duration_seconds,view,like,comment,impression,revenue
101,A Culinary Tour of Delhi,11,September,2021,Shorts,1063,149.825,49.808,6.425,3238.741,127.978
102,The Festivals of India,18,November,2020,Long,1603,420.785,17.437,7.081,1299.846,67.297
103,The Spices of India,22,April,2020,Long,1685,877.148,11.65,9.789,1308.565,101.591
104,Exploring the Rann of Kutch,21,October,2019,Long,975,960.08,51.728,9.207,3109.457,192.775
105,A Day in the Life of an Indian Farmer,23,November,2021,Long,1406,232.668,28.608,4.286,585.461,91.28
106,A Journey through Rajasthan,5,May,2020,Shorts,614,803.159,61.937,1.017,2980.003,77.797
107,Bollywood: Behind the Scenes,26,November,2020,Long,578,347.19,27.652,3.54,2034.07,76.377
108,The Festivals of India,26,August,2020,Long,1649,644.896,43.262,6.985,2533.994,176.851
109,Exploring the Taj Mahal,9,May,2019,Shorts,286,157.019,67.044,6.496,2033.542,86.073
110,The Spices of India,20,October,2019,Long,293,524.371,49.629,7.358,2149.937,191.121
111,Wildlife of the Sundarbans,28,May,2019,Shorts,562,488.448,18.923,6.145,2797.226,119.391
112,A Culinary Tour of Delhi,6,October,2020,Long,1564,633.285,39.671,4.962,1351.539,168.232
113,Exploring the Taj Mahal,17,July,2019,Long,1347,893.774,63.836,8.656,1305.612,36.753
114,The Indian Independence Movement,6,February,2020,Shorts,1015,927.199,53.015,2.783,1004.23,125.012
115,The Festivals of India,23,August,2019,Long,1725,303.003,21.956,6.073,3861.095,165.912
116,Life in a Small Indian Village,7,May,2020,Shorts,1558,338.952,15.012,6.508,2606.286,164.051
117,Exploring the Rann of Kutch,20,January,2020,Shorts,1334,714.642,58.211,3.471,2121.683,195.032
118,A Day in the Life of an Indian Farmer,20,November,2020,Long,447,960.943,10.98,1.976,1244.247,107.042
119,The Markets of Kolkata,7,October,2021,Shorts,1506,396.389,64.766,4.579,3530.733,92.134
120,The History of the Mughal Empire,14,April,2021,Long,780,119.35,42.462,4.456,2631.409,74.024
121,The Temples of South India,20,March,2020,Shorts,493,207.148,36.042,9.776,1186.62,156.422
122,The Markets of Kolkata,2,August,2020,Long,1054,374.389,15.234,8.497,1025.341,172.174
123,The Temples of South India,16,September,2021,Long,1239,213.725,44.737,4.503,3190.457,40.918
124,The Indian Independence Movement,15,November,2019,Shorts,996,137.522,13.585,2.453,3244.221,195.567
125,The Spices of India,14,March,2021,Shorts,1709,843.21,50.031,0.581,1791.875,93.465
126,Exploring the Taj Mahal,14,July,2021,Long,821,911.458,40.865,9.24,2073.684,108.114
127,A Journey through Rajasthan,10,November,2020,Long,1383,465.51,21.691,6.977,1389.99,187.692
128,The Spices of India,19,December,2020,Shorts,440,697.515,51.016,3.119,3431.143,104.548
129,A Tour of Mumbai,12,April,2019,Long,1459,168.03,47.443,4.119,835.676,154.83
130,Life in a Small Indian Village,5,October,2019,Long,1625,370.546,16.013,3.384,1910.516,97.628
131,Bollywood: Behind the Scenes,12,September,2021,Long,299,675.102,57.134,6.679,3810.042,143.745
132,The Temples of South India,16,November,2021,Shorts,310,799.889,66.032,4.564,2850.903,84.956
133,The Markets of Kolkata,9,August,2021,Shorts,726,796.514,33.845,5.053,1951.217,99.72
134,The Markets of Kolkata,9,February,2019,Shorts,747,363.358,20.776,5.608,708.185,26.437
135,A Culinary Tour of Delhi,25,July,2019,Shorts,290,187.095,32.403,5.933,2445.072,30.482
136,The Temples of South India,11,August,2020,Shorts,1660,259.752,68.122,4.266,2105.953,184.744
137,Exploring the Rann of Kutch,10,January,2019,Long,1417,484.733,44.872,9.134,2454.506,154.773
138,The History of the Mughal Empire,1,July,2020,Long,385,579.248,12.696,7.67,2104.554,170.371
139,Exploring the Taj Mahal,12,March,2019,Long,1007,666.445,18.566,9.189,1131.821,160.097
140,A Day in the Life of an Indian Farmer,26,August,2020,Long,1461,352.53,34.149,9.346,1383.345,110.923
141,The Markets of Kolkata,10,July,2021,Long,960,308.025,65.466,3.659,3395.465,162.371
142,The Temples of South India,10,January,2020,Shorts,1711,834.498,29.41,0.966,1678.248,134.45
143,The Festivals of India,4,May,2021,Shorts,1137,837.816,27.913,6.712,1009.145,170.605
144,Traditional Indian Weddings,19,November,2019,Long,1704,931.57,50.456,2.455,2640.794,121.364
145,Traditional Indian Weddings,7,July,2021,Long,853,144.074,30.383,0.653,1958.764,62.736
146,The Art of Indian Dance,3,August,2019,Long,1275,159.709,50.267,1.508,3129.422,109.073
147,Exploring the Ganges River,27,September,2019,Shorts,563,929.716,46.776,5.35,2600.958,161.287
148,Exploring the Rann of Kutch,27,January,2020,Long,529,597.746,57.354,8.132,1016.558,50.668
149,Discovering the Backwaters of Kerala,23,January,2020,Long,1756,208.474,12.119,6.209,3154.898,184.447
150,A Tour of Mumbai,14,October,2020,Shorts,1298,630.581,23.348,4.104,3352.817,146.267
151,A Culinary Tour of Delhi,26,April,2020,Long,1033,135.332,68.108,9.773,3698.407,156.695
152,The History of the Mughal Empire,23,August,2020,Shorts,1313,771.376,11.705,5.159,3923.766,112.166
153,Traditional Indian Weddings,7,April,2020,Long,949,249.926,48.059,4.58,2619.057,54.624
154,Life in a Small Indian Village,1,April,2020,Shorts,957,934.592,24.846,3.338,826.791,106.01
155,A Day in the Life of an Indian Farmer,10,October,2020,Shorts,627,355.317,14.594,2.261,1789.081,171.928
156,The Markets of Kolkata,21,July,2021,Shorts,1330,505.919,13.962,5.539,3028.23,195.769
157,The Festivals of India,2,May,2019,Shorts,900,444.068,53.031,6.066,3307.49,191.229
158,A Journey through Rajasthan,7,March,2020,Shorts,1605,219.294,11.058,2.08,3040.981,110.317
159,A Tour of Mumbai,5,January,2019,Shorts,469,427.142,42.763,6.483,2733.911,133.043
160,A Tour of Mumbai,20,April,2021,Shorts,1738,148.2,38.552,8.064,1865.657,142.502
161,The Spices of India,4,September,2020,Shorts,1422,513.143,15.948,6.836,900.269,166.705
162,A Tour of Mumbai,1,February,2020,Long,373,220.893,14.045,8.958,3331.622,89.285
163,Exploring the Rann of Kutch,9,June,2019,Shorts,1095,511.553,26.746,4.387,1854.823,61.855
164,A Journey through Rajasthan,3,March,2021,Long,1594,500.604,63.85,6.936,637.655,161.533
165,The Art of Indian Dance,18,August,2020,Shorts,1121,237.685,12.243,4.955,2506.699,165.573
166,Life in a Small Indian Village,16,April,2019,Long,1399,462.044,17.601,7.783,3323.973,145.793
167,The Art of Indian Dance,21,October,2021,Long,1061,274.614,63.701,3.423,3225.943,83.123
168,Traditional Indian Weddings,5,November,2021,Shorts,1381,781.168,24.535,1.317,1485.538,187.428
169,A Journey through Rajasthan,22,May,2020,Shorts,972,391.802,57.896,1.819,1049.296,174.254
170,The Mysteries of the Himalayas,11,July,2021,Long,1786,743,58.312,8.036,2347.923,77.111
171,The Festivals of India,21,January,2020,Long,1668,855.869,53.33,7.264,3557.296,90.774
172,Traditional Indian Weddings,1,September,2019,Shorts,1783,251.989,60.736,6.325,853.346,31.891
